Estado,Municipio,Hasta 1.99,2.00 a 2.60,2.61 a 3.99,4.00 a 6.99,7.00 a 10.99,11.00 en adelante,Total general,mes,anio
San Luis Potosí,Tierra Nueva,3,3,5,7,20,1,39,4,2015
San Luis Potosí,Vanegas,95,1,1,,,,97,4,2015
San Luis Potosí,Venado,78,25,6,,2,,111,4,2015
San Luis Potosí,Villa de Arista,23,25,9,2,6,5,70,4,2015
San Luis Potosí,Villa de Arriaga,25,1,,,,,26,4,2015
San Luis Potosí,Villa de Guadalupe,39,5,6,,,,50,4,2015
San Luis Potosí,Villa de la Paz,38,30,125,115,32,5,345,4,2015
San Luis Potosí,Villa de Ramos,1,2,2,,,,5,4,2015
San Luis Potosí,Villa de Reyes,395,328,1462,642,237,304,3368,4,2015
San Luis Potosí,Villa Hidalgo,108,65,18,10,,,201,4,2015
San Luis Potosí,Villa Juárez,6,,1,2,,,9,4,2015
San Luis Potosí,Xilitla,76,6,,1,,,83,4,2015
San Luis Potosí,Zaragoza,92,27,43,96,99,16,373,4,2015
Sinaloa,Ahome,8853,2258,3120,2086,819,505,17641,4,2015
Sinaloa,Angostura,400,95,99,43,8,2,647,4,2015
Sinaloa,Badiraguato,24,5,5,3,,,37,4,2015
Sinaloa,Choix,113,14,15,17,2,,161,4,2015
Sinaloa,Concordia,189,61,22,14,,2,288,4,2015
Sinaloa,Cosalá,77,6,9,2,,3,97,4,2015
Sinaloa,Culiacán,20919,7437,10869,7603,2901,2096,51825,4,2015
Sinaloa,El Fuerte,780,102,169,30,5,6,1092,4,2015
Sinaloa,Elota,335,64,247,86,10,2,744,4,2015
Sinaloa,Escuinapa,433,100,105,61,15,7,721,4,2015
Sinaloa,Guasave,4313,1250,1377,848,345,243,8376,4,2015
Sinaloa,Mazatlán,11182,3356,4088,2841,1004,952,23423,4,2015
Sinaloa,Mocorito,159,53,106,133,27,13,491,4,2015
Sinaloa,Navolato,1350,225,315,161,35,25,2111,4,2015
Sinaloa,Rosario,398,181,244,183,42,24,1072,4,2015
Sinaloa,Salvador Alvarado,1491,376,530,189,83,46,2715,4,2015
Sinaloa,San Ignacio,95,26,30,28,3,1,183,4,2015
Sinaloa,Sinaloa,233,33,59,14,6,6,351,4,2015
Sonora,Aconchi,16,,1,,,,17,4,2015
Sonora,Agua Prieta,2278,1347,876,524,258,173,5456,4,2015
Sonora,Alamos,168,17,33,84,64,30,396,4,2015
Sonora,Altar,116,14,8,5,1,1,145,4,2015
Sonora,Arivechi,2,,,,,,2,4,2015
Sonora,Bacoachi,4,,,,,,4,4,2015
Sonora,Bácum,146,6,14,20,3,1,190,4,2015
Sonora,Banámichi,10,19,7,36,31,16,119,4,2015
Sonora,Baviácora,19,1,5,1,,,26,4,2015
Sonora,Benito Juárez,116,12,19,16,6,1,170,4,2015
Sonora,Benjamín Hill,57,1,4,10,2,,74,4,2015
Sonora,Caborca,1645,385,640,1066,295,216,4247,4,2015
Sonora,Cajeme,11405,2927,3543,3205,1624,973,23677,4,2015
Sonora,Cananea,771,390,586,1258,548,146,3699,4,2015
Sonora,Carbó,,1,1,,,,2,4,2015
Sonora,Cucurpe,1,11,7,1,,,20,4,2015
Sonora,Cumpas,87,53,29,59,25,10,263,4,2015
Sonora,Empalme,574,1086,439,185,164,153,2601,4,2015
Sonora,Etchojoa,557,23,15,35,9,9,648,4,2015
Sonora,Fronteras,66,16,5,3,,,90,4,2015
Sonora,General Plutarco Elías Calles,174,42,41,15,9,,281,4,2015
